nom,adresse,ville,région,cp,tel,mail,type,horaires
Accueil de loisirs,103 rue Château des Rentiers ,Paris, Ile de France,75013, 01 83 98 22 73,pascale.audelin@paris.fr,Compost en immeuble,
Agro Paris Tech,16 rue Claude Bernard ,Paris, Ile de France,75005, O6 86 26 90 85,sybille.paris@agroparistech.fr,"Compost en immeuble, Compost en immeuble, Compost en immeuble",
Association Pour Amitié,28 rue Giordano Bruno ,Paris, Ile de France,75014, 06 14 87 25 60,"marine.barberot@hotmail,fr","Compost en immeuble, Compost en immeuble, Compost en immeuble",
Association SNPN,9 rue Cels ,Paris, Ile de France,75014, 01 43 20 15 39,snpn@wanadoo.fr,"Compost en immeuble, Compost en immeuble, Compost en immeuble",
CNAMTS,50 avenue du Pr. André Lemierre ,Paris, Ile de France,75020, 01 72 60 23 55,marie-camille.lernormand@cnamts.fr,Compost en immeuble,
COLLEGE P. Mendès France,24-34 rue Le Vau ,Paris, Ile de France,75020, 01 43 61 27 57 06 46 30 59 02,Pas de mail,"Compost en immeuble,",
Compost de quartier du Square Héloïse et Abélard,Square Héloïse et Abélard ,Paris, Île-de-France,75013,,bienvenue@compos13.fr,"Compost de quartier, Association","Mercredi (de 16:30 à 17:30) samedi (de 10:00 à 12:00)"
Compost du Jardin Santerre,107 rue de reuilly ,PARIS, Ile de France,75012,628040097,jj.fasquel@gmail.com,,Lundi-dimanche (journée entière)
Composteur de quartier,21 rue des blancs manteaux ,Paris,Ile de France,75004,,,,Compost de quartier,
Congrégation religieuse,"14-16, rue St-Jean-Baptiste ",Paris, Ile de France,75006,,,Compost en immeuble,
Congrégation religieuse,42-44 rue des volontaires ,Paris, Ile de France,75015, 01 45 67 94 10 / 01 44 49 62 20,congsoeurchrist@wanadoo.fr,"Compost en immeuble, Compost en immeuble, Compost en immeuble",
Copropriété,79 Rue Réaumur ,Paris, Ile de France,75002, 01 40 41 96 74/06 83 46 89 80,marybdyson@orange.fr,"Compost en immeuble, ",
Copropriété,4 rue Barbette ,Paris, Ile de France,75003,,,Compost en immeuble,
Copropriété,13 rue bleue ,Paris, Ile de France,75009, 01 42 85 35 07 / 06 74 04 64 15,margaux.pibarot@gmail.com,"Compost en immeuble, Compost en immeuble",
Copropriété,99 rue du faubourg du Temple ,Paris, Ile de France,75010, 06 37 39 71 25,apaolini3@gmail.com,"Compost en immeuble,",
Copropriété,75 rue du faubourg Saint Antoine ,Paris, Ile de France,75011, 06 08 46 83 44 / 06 99 15 85 55 ,danielle@desguees.fr,Compost en immeuble,
Ministere de l'agriculture,3 rue Barbet de Jouy ,Paris, Ile de France,75007, 01 49 55 44 47 / 01 49 55 52 31,, Compost en immeuble,
Copropriété,25 rue Descombes ,Paris, Ile de France,75017, 06 09 97 22 76,julien.devaux@hotmail.fr,"Compost en immeuble,",
Copropriété,8 rue Boucry ,Paris, Ile de France,75018, 01 43 80 60 40 / 06 08 78 26 47,renaud.peirani@orange.fr adhui@hotmail.com,"Compost en immeuble,",
Copropriété,28-30 rue Michel Ange ,Paris, Ile de France,75016, 06 62 72 60 04,emmanuelle.redaud@gmail.com,Compost en immeuble,
Copropriété,22 bis rue du Docteur Potain ,Paris, Ile de France,75019, O6 81 02 06 60,lizouxandco@yahoo.fr,"Compost en immeuble,",
Agro Paris Tech,16 rue Claude Bernard,Paris,Île de France,75005,,,Compost en immeuble,
Association Pour Amitié,28 rue Giordano Bruno,Paris,Île de France,75014,,,Compost en immeuble,
Association SNPN,9 rue Cels,Paris,Île de France,75014,,,Compost en immeuble,
CNAMTS,50 avenue du Pr. André Lemierre,Paris,Île de France,75020,,,Compost en immeuble,
COLLEGE P. Mendès France,24-34 rue Le Vau,Paris,Île de France,75020,,,Compost en immeuble,
CREE DASCO,40 rue corvisart,Paris,Île de France,75013,,,Compost en immeuble,
Centre Médico-Social,205 rue de Javel,Paris,Île de France,75015,,,Compost en immeuble,
Centre Paris Anim Château Landon,31 rue du Château Landon,Paris,Île de France,75010,,,Association,
Centre Social Soleil St Blaise,7 Square Vitruve/1 square des Cardeurs,Paris,Île de France,75020,,,Compost en immeuble,
Centre animation,6 rue Maurice ravel,Paris,Île de France,75012,,,Compost en immeuble,
Centre d'Hébergement et de réinsertion sociale,15 rue du Crespin du Gast,Paris,Île de France,75011,,,Compost en immeuble,
Centre d'animation,22-24 rue Rochechouart,Paris,Île de France,75009,,,Compost en immeuble,
Centre d'animation,14-18 rue de la tour des dames,Paris,Île de France,75009,,,Compost en immeuble,
Centre d'animation,1 rue Gouthière,Paris,Île de France,75013,,,Compost en immeuble,
Centre d'animation (maison des ensembles),3-5 rue d'aligre,Paris,Île de France,75012,,,Compost en immeuble,
Centre d'animation René Goscinny,14 rue René Goscinny,Paris,Île de France,75013,,,Compost en immeuble,
Centre d'hébergement et de stabilisation (CHS),210 bis rue de Vaugirard,Paris,Île de France,75015,,,Compost en immeuble,
Centre Social Soleil St Blaise,7 Square Vitruve/1 square des Cardeurs,Paris,Île de France,75020,,,Compost en immeuble,
Centre animation,6 rue Maurice ravel,Paris,Île de France,75012,,,Compost en immeuble,
Centre d'Hébergement et de réinsertion sociale,15 rue du Crespin du Gast,Paris,Île de France,75011,,,Compost en immeuble,
Centre d'animation,22-24 rue Rochechouart,Paris,Île de France,75009,,,Compost en immeuble,
Centre d'animation,14-18 rue de la tour des dames,Paris,Île de France,75009,,,Compost en immeuble,
Centre d'animation,1 rue Gouthière,Paris,Île de France,75013,,,Compost en immeuble,
Centre d'animation (maison des ensembles),3-5 rue d'aligre,Paris,Île de France,75012,,,Compost en immeuble,
Centre d'animation René Goscinny,14 rue René Goscinny,Paris,Île de France,75013,,,Compost en immeuble,
Centre d'hébergement et de stabilisation (CHS),210 bis rue de Vaugirard,Paris,Île de France,75015,,,Compost en immeuble,
Centre de loisirs,7 rue de Moscou,Paris,Île de France,75008,,,Compost en immeuble,
Centre de loisirs,12 rue de l'espérance,Paris,Île de France,75013,,,Compost en immeuble,
Centre de loisirs,22 rue Antoine chantin,Paris,Île de France,75014,,,Compost en immeuble,
Centre de loisirs,81-83 rue Mademoiselle,Paris,Île de France,75015,,,Compost en immeuble,
Centre musical,1 rue fleury (2015),Paris,Île de France,75018,,,Compost en immeuble,
Centre patay,14 rue Jean Colly,Paris,Île de France,75013,,,Compost en immeuble,
Centre ressources petite enfance,9 passage piver,Paris,Île de France,75011,,,Compost en immeuble,
Centre social,38 rue des amandiers,Paris,Île de France,75020,,,Compost en immeuble,
Club de Tennis Cheminot Vaugirard,399 rue de Vaugirard,Paris,Île de France,75015,,,Compost en immeuble,
Collège,38 rue Trousseau,Paris,Île de France,75011,,,Compost en immeuble,
Collège,10-16 Av. Marc Sangnier,Paris,Île de France,75014,,,Compost en immeuble,
Collège,4 place du Commerce,Paris,Île de France,75015,,,Compost en immeuble,
Collège,2 esplanade Nathalie Sarraute,Paris,Île de France,75018,,,Compost en immeuble,
Collège,45 rue de Tanger,Paris,Île de France,75019,,,Compost en immeuble,
Collège Beaumarchais,124 rue Amelot,Paris,Île de France,75011,,,Compost en immeuble,
Collège Elsa Triolet,9 rue Yéo Thomas,Paris,Île de France,75013,,,Compost en immeuble,
Collège G Budé,7-15 rue Jean Quarré,Paris,Île de France,75019,,,Compost en immeuble,
Collège Guy Flavien,6 rue d'Artagnan,Paris,Île de France,75012,,,Compost en immeuble,
Collège Hector Berlioz,17 rue Georgette Agutte,Paris,Île de France,75018,,,Compost en immeuble,
Collège Pierre Mendès France,24 rue Le Vau,Paris,Île de France,75020,,,Compost de quartier,
Collège Sonia Delaunay,14 Rue Euryale Dehaynin,Paris,Île de France,75019,,,Compost en immeuble,
Compost de Quartier de la Gare de Reuilly,181 avenue Daumesnil,PARIS,Île de France,75012,,,Compost de quartier,
Compost de Quartier de la Gare de Reuilly,181 avenue Daumesnil,Paris,Île de France,75012,,,Compost de quartier,
